seconds,accX,accY,accZ
389.0,-0.96,0.86,0.31
390.0,-0.97,0.77,0.11
391.0,-0.77,0.98,0.18
392.0,-0.19,0.55,0.31
393.0,-0.95,0.74,0.25
394.0,-1.2,0.76,0.23
395.0,-0.92,0.55,0.12
396.0,-1.05,0.6,0.22
397.0,-0.48,0.53,0.23
399.0,-1.12,0.81,0.18
400.0,-0.92,0.66,0.23
401.0,-0.91,0.37,0.19
402.0,-0.76,0.32,-0.04
403.0,-0.98,0.4,0.07
404.0,-0.88,0.79,0.18
405.0,-0.65,0.93,0.25
406.0,-0.37,0.63,0.09
407.0,-1.0,0.73,0.24
409.0,-0.81,0.45,0.21
410.0,-0.78,0.87,0.43
411.0,-0.65,0.88,0.38
412.0,-0.47,0.75,0.22
413.0,-0.71,0.81,0.1
414.0,-0.84,0.7,0.28
415.0,-1.18,0.84,0.02
416.0,-0.72,0.73,0.29
417.0,-0.56,0.58,0.18
418.0,0.17,0.21,0.08
420.0,-0.57,0.93,0.13
421.0,-1.03,0.83,0.17
422.0,-0.44,0.92,0.28
423.0,-0.45,0.54,0.02
424.0,-0.92,0.7,0.38
425.0,-0.91,0.88,0.22
426.0,-0.15,0.38,0.2
427.0,-0.92,0.98,0.11
428.0,-1.03,0.86,0.23
430.0,-0.05,0.31,0.23
431.0,-0.82,0.94,-0.02
432.0,-0.96,0.86,0.21
433.0,-0.28,0.47,0.17
434.0,-1.17,0.81,0.25
435.0,-0.7,0.8,0.23
436.0,-0.47,0.44,0.2
437.0,-0.72,0.58,0.26
438.0,-0.47,0.76,0.14
439.0,-0.95,0.8,0.09
441.0,-1.0,0.63,0.24
442.0,-0.43,0.58,0.23
443.0,-0.49,0.77,0.18
444.0,-0.93,0.68,0.27
445.0,-0.98,1.39,0.08
446.0,-0.17,0.62,0.19
447.0,-0.87,0.66,0.21
448.0,-0.95,0.56,0.21
449.0,-0.94,0.89,0.17
451.0,-0.18,0.43,0.25
452.0,-0.44,0.65,0.08
453.0,-0.86,0.78,0.18
454.0,-1.07,0.67,0.26
455.0,-0.89,0.75,0.23
456.0,-0.53,0.41,0.16
457.0,-0.18,0.56,0.23
458.0,-0.82,0.65,0.28
459.0,-0.88,0.57,0.39
460.0,-0.88,0.46,0.16
462.0,-0.42,0.7,0.26
463.0,-0.61,0.58,0.17
464.0,-0.19,0.29,0.35
465.0,-0.67,0.89,0.22
466.0,-1.0,0.73,0.19
467.0,-0.97,1.01,0.19
468.0,-0.5,0.63,0.14
469.0,-0.93,0.65,0.28
470.0,-0.65,0.74,0.1
472.0,-0.67,0.73,0.12
473.0,-0.89,0.51,0.23
474.0,-0.37,0.43,0.22
475.0,-0.88,0.89,0.31
476.0,-0.96,1.01,0.11
477.0,-0.29,0.52,0.24
478.0,-0.97,0.7,0.11
479.0,-0.85,0.53,0.23
480.0,-0.61,0.49,0.24
482.0,-0.35,0.58,0.15
483.0,-0.82,0.74,0.14
484.0,-1.21,1.07,0.06
485.0,-0.47,0.73,0.13
486.0,-0.32,0.39,0.17
487.0,-1.26,0.79,0.22
488.0,-1.04,0.48,0.21
489.0,-0.84,0.71,0.16
490.0,-0.02,0.41,0.17
491.0,-0.39,0.57,0.11
493.0,-1.03,0.73,0.23
494.0,-0.95,0.55,0.27
495.0,-1.11,0.79,0.27
496.0,-0.17,0.21,0.21
497.0,-0.53,0.81,0.05
498.0,-0.93,0.64,0.27
499.0,-0.92,0.79,0.17
500.0,-0.3,0.46,0.15
501.0,-0.81,0.67,0.15
503.0,-0.99,0.79,0.27
504.0,-1.02,0.88,0.5
505.0,-0.43,0.52,0.19
506.0,-0.38,0.37,0.24
507.0,-1.08,0.78,0.1
508.0,-1.07,1.11,0.13
509.0,-1.02,0.67,0.36
510.0,-1.03,0.78,0.26
511.0,-0.87,0.63,0.21
512.0,-1.04,0.73,0.06
514.0,-0.92,0.7,0.24
515.0,-0.28,0.47,0.22
516.0,-1.16,0.88,0.08
517.0,-1.25,0.84,0.29
518.0,-0.88,0.45,0.22
519.0,-0.73,0.29,0.19
520.0,-0.86,0.36,0.2
521.0,-0.96,0.37,0.25
522.0,-0.83,0.47,0.18
524.0,-0.48,0.84,0.16
525.0,-0.73,0.88,0.05
526.0,-0.72,0.66,0.32
527.0,-0.91,0.63,0.04
528.0,-0.38,0.3,0.04
529.0,-0.3,0.52,0.31
530.0,-1.22,0.82,0.05
531.0,-0.82,0.8,0.29
532.0,-0.58,0.7,0.09
533.0,-0.19,0.54,0.05
535.0,-0.99,0.49,0.1
536.0,-1.06,0.44,0.2
537.0,-1.06,0.88,0.05
538.0,-0.72,0.67,0.43
539.0,-0.52,0.52,0.14
540.0,-0.12,0.6,0.05
541.0,-0.38,0.44,0.2
542.0,-0.75,0.69,0.12
543.0,-0.92,0.6,0.17
545.0,-0.83,0.8,0.15
546.0,-0.46,0.68,0.1
547.0,-0.96,0.65,0.25
548.0,-0.96,0.99,0.26
549.0,-0.6,0.7,0.11
550.0,-1.05,0.76,0.29
551.0,-0.9,0.95,-0.04
552.0,-0.23,0.35,0.27
553.0,-0.97,0.86,0.12
555.0,-0.88,0.96,0.11
556.0,-0.28,0.49,0.09
557.0,-0.93,0.71,0.09
558.0,-0.94,0.66,0.14
559.0,-0.23,0.28,0.11
560.0,-1.07,0.91,-0.02
561.0,-0.91,0.67,0.21
562.0,-0.32,0.37,0.27
563.0,-1.07,0.86,0.12
565.0,-0.92,0.61,0.28
566.0,-0.55,0.56,0.11
567.0,-0.68,0.6,0.06
568.0,-0.93,0.53,0.39
569.0,-1.15,0.84,-0.04
570.0,-0.21,0.4,0.12
571.0,-0.83,0.79,0.04
572.0,-0.9,0.59,0.24
573.0,-1.09,0.82,0.24
574.0,-0.5,0.45,0.16
576.0,-0.65,0.67,0.18
577.0,-1.0,0.73,0.12
578.0,-0.93,0.48,0.32
579.0,-0.86,0.65,0.29
